"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"21.743.490,31";"314.535.590,03";"316.376.889,06";"15.670.590,09";
"09/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 6.163.762,01";"10.967.332,16";"182.738.234,18";"319.748,41";
"07/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"350.766.550,66";"309.962.902,13";"381.932.569,51";"1.819.654,57";
"04/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"277.261.055,04";"310.569.725,75";"311.137.461,87";"2.067.304,58";
"03/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"29.699.389,80";"315.514.191,50";"327.851.315,57";"2.208.368,06";
"01/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"3.159.878.346,60";"277.492.902,95";"99.768.376,98";"265.370.842,94";
"02/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 359.550.580,60";"308.378.788,68";"294.017.120,72";"22.485.256,54";
"06/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"17.789.269,49";"376.605.009,00";"310.177.632,44";"3.369.362,83";
"08/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"35.747.200,43";"318.044.025,82";"314.478.437,51";"2.611.099,48";
"01/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"7.960.023,13";"1.208.470,42";"421.514,48";"1.150.374,33";
